identifier,title,date issued,year,solr
e19d432ecf284c9eb1d399828aa87034_15,Easements,4/26/2017,2017,2017
6bc3335f610d4f3a9059b783fbc91f26_20,Special Surveys,4/26/2017,2017,2017
576b62da03634690af14c79ee2164cc2_22,Tax Parcels,4/26/2017,2017,2017
2e1efae7d7d244afb08f2b011e031d25_8,Water Bodies,12/1/2014,2014,2014
921ff78af305459a82f0b09d03cb934e_19,Right of Ways,4/26/2017,2017,2017
915b0721cda1403a96cedf57189ada38_42,Ped Bike System,4/26/2017,2017,2017
1932268e84324be0be76b3593b3f56fe_32,Half Sections,12/1/2014,2014,2014
574b5c398c3941769dcc53a6f95be5a9_17,Land Ties,4/26/2017,2017,2017
1e3ead5c863f4b269ded88959e79bff7_36,Building Footprints,10/15/2016,2016,2016
3115ff609037465796604556843420be_12,Parcels,12/1/2014,2014,2014
4ec0f4c8e2364ce3b489efae2bda6125_44,Streets,12/1/2014,2014,2014
dedb6b61846047f996b456aa79173ee9_37,Miscellaneous Structures,4/26/2017,2017,2017
e5de0c2dd30d4c52ab28c453540df3d1_5,Elevation Contours,4/20/2017,2017,2017
c91fe9b09f984ad085755cc014d73d66_31,Townships,12/1/2014,2014,2014
7a78306bd3ca4cbd8566861184e8acba_18,Parcel Info,4/26/2017,2017,2017
dfd1dad7720b456bb0cb00eabb40056e_33,Quarter Sections,12/1/2014,2014,2014
56fb0d3188bc40a9a4891d0e66911023_24,Address Points,3/2/2016,2016,2016
6bbe3844fbc74837be60d29a749d0cc4_0,Transportation Structures,4/26/2017,2017,2017
0aae6c7740a2482e9ee46f584933a05a_7,Soils,12/1/2014,2014,2014
77c001274c174978a1af2c92afd98da3_14,Conveyance Divisions,4/26/2017,2017,2017
e1d26ac7a8944f1f8059f5659f656fe1_11,Parcel Points,12/1/2014,2014,2014
1d885379344b4bd9b98beb6ba70f1175_1,Cities,11/29/2014,2014,2014
d2476e90a54c4e3cbb24b2c3cb53ef1b_28,Government Lots,4/26/2017,2017,2017
acca01af55d6406a9e1c8b7e51ffe6a7_16,Historic Right of Ways,4/26/2017,2017,2017
5559f1d635fc484c93ccc45a3caa787e_2,Commissioner Districts,11/29/2014,2014,2014
30d93de5b62040959670a6c648459391_34,Quarter Quarter Sections,12/1/2014,2014,2014
c43ee9d6f99741bb8691ead89dc2c23c_27,Control Corners,12/1/2014,2014,2014
2fef1a17ba014b43909f8ca59b70f09f_9,Water Lines,4/26/2017,2017,2017
1b60481acfa14ff28a740ebbed5811f6_29,Sections,12/1/2014,2014,2014
fb3e21546ba14a67a95f703f9981f615_38,Parking Structures,4/26/2017,2017,2017
ba48ceeb5a01436ca8c0e5c39ca2971c_21,Subdivisions,4/26/2017,2017,2017
c2922202c12b4c359a633377f2a923f4_30,Section Lines,4/26/2017,2017,2017
4bfdf4fc137f47159155ad6681a8c595_45,Street Simple,4/26/2017,2017,2017
16011400fccd4310abade7b77866b88e_39,Recreational Structures,4/26/2017,2017,2017
74d6f9d77f5849bba5190342bbb820d9_13,Common Interest Communities,4/26/2017,2017,2017
0782c58466f445fb9c8bd84f0e26944a_26,Benchmarks,12/4/2014,2014,2014
520ada3c690146c8a1dc4180c96bdada_43,Railroads,12/2/2014,2014,2014
a9e0cd0fc2aa479c807173015ba2063e_3,Parks,12/1/2014,2014,2014
