identifier,title,description,issued,modified,landingPage
https://data.cityofchicago.org/api/views/ej32-qgdr,Parks - Chicago Park District Park Boundaries (current),"Current boundaries of Chicago Park District properties as of November 4, 2016.",2015-03-19,2017-05-02,https://data.cityofchicago.org/d/ej32-qgdr,https://data.cityofchicago.org/api/views/ej32-qgdr
https://data.cityofchicago.org/api/views/qixn-wjxu,Street Sweeping - 2017 - Map,"Street sweeping zones by Ward and Ward Section Number.  For the corresponding schedule, see https://data.cityofchicago.org/d/iry7-etg6.

For more information about the City's Street Sweeping program, go to http://bit.ly/H2PHUP. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ).",2017-03-30,2017-04-19,https://data.cityofchicago.org/d/qixn-wjxu,https://data.cityofchicago.org/api/views/qixn-wjxu
https://data.cityofchicago.org/api/views/ewy2-6yfk,Boundaries - City,"City boundary of Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ).",2015-05-13,2017-06-30,https://data.cityofchicago.org/d/ewy2-6yfk,https://data.cityofchicago.org/api/views/ewy2-6yfk
https://data.cityofchicago.org/api/views/5yyk-qt9y,Parks - Chicago Park District Facilities (current),"Facilities managed & maintained by the Chicago Park District as of November 4, 2016.",2015-03-19,2017-05-02,https://data.cityofchicago.org/d/5yyk-qt9y,https://data.cityofchicago.org/api/views/5yyk-qt9y
https://data.cityofchicago.org/api/views/6imu-meau,Street Center Lines,"Street center lines in Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression software and special GIS software, such as ESRI ArcGIS (shapefile) or Google Earth (KML or KMZ), is required.",2014-10-23,2017-07-11,https://data.cityofchicago.org/d/6imu-meau,https://data.cityofchicago.org/api/views/6imu-meau
https://data.cityofchicago.org/api/views/u7uu-j2ma,Parks - Chicago Park District Buildings (current),"Inventory of buildings located on Chicago Park District premises as of November 4, 2016.",2015-03-19,2017-05-02,https://data.cityofchicago.org/d/u7uu-j2ma,https://data.cityofchicago.org/api/views/u7uu-j2ma
https://data.cityofchicago.org/api/views/e9ef-hrzb,Parks - Chicago Park District Artworks (current),"Inventory of public art located on Chicago Park District premises as of November 4, 2016.",2015-03-19,2017-05-02,https://data.cityofchicago.org/d/e9ef-hrzb,https://data.cityofchicago.org/api/views/e9ef-hrzb
