ID,document[b1g_dateRetired_s],document[b1g_status_s],document[publication_state]
iowadnr::plss-qq-sections,2022-06-16,Inactive,['unpublished']
IndyGIS::topographic-indy-1,2022-06-16,Inactive,['unpublished']
IowaDOT::bicyclist-intersection,2022-06-16,Inactive,['unpublished']
linncounty-gis::2020-imagery-township-84-range-7,2022-06-16,Inactive,['unpublished']
maryland::maryland-ecosystem-services-atmospheric-nitrogen-dioxide-removal-economic-benefit-dollars-per-year,2022-06-16,Inactive,['unpublished']
HarfordGIS::harford-county-maryland-agricultural-preservation-map-2020-e-size,2022-06-16,Inactive,['unpublished']
DCGIS::moving-violations-issued-in-june-2021,2022-06-16,Inactive,['unpublished']
bniajfi::community-statistical-areas-csas-reference-boundaries-1,2022-06-16,Inactive,['unpublished']
dvrpcgis::dvrpc-bicycle-stress-v2-trail-intersections,2022-06-16,Inactive,['unpublished']
PopeCounty::waterbodies-1,2022-06-16,Inactive,['unpublished']
wilkinco::voting-districts-2,2022-06-16,Inactive,['unpublished']
cityoflakes::assessors-parcel-data-2020,2022-06-16,Inactive,['unpublished']
midnr::mi-hunt-landcover-types,2022-06-16,Inactive,['unpublished']
oakgov::oc-surface-geology,2022-06-16,Inactive,['unpublished']
SEMCOG::tip-and-rtp-projects,2022-06-16,Inactive,['unpublished']
detroitmi::number-and-rate-of-hiv-diagnoses,2022-06-16,Inactive,['unpublished']
phl::laneclosure-eun-xy,2022-06-16,Inactive,['unpublished']
countyofdane::aerial-imagery-2020,2022-06-16,Inactive,['unpublished']
WaukeshaCounty::waukesha-county-maps-and-apps-gallery,2022-06-16,Inactive,['unpublished']
starkcountyohio::1965-stark-county-imagery,2022-06-16,Inactive,['unpublished']
athgis::rrcrossings,2022-06-16,Inactive,['unpublished']
LorainGIS::tracts,2022-06-16,Inactive,['unpublished']
starkcountyohio::tax-districts,2022-06-16,Inactive,['unpublished']
25b4cf325de74e8580da1629ca0adeb4_8,2022-06-16,Inactive,['unpublished']
DuPage::wnv-positive-counts-2022,2022-06-16,Inactive,['unpublished']
nebraska::mile-marker,2022-06-16,Inactive,['unpublished']
outdoornebraska::nebraska-bul,2022-06-16,Inactive,['unpublished']
CalvertGIS::addresses,2022-06-16,Inactive,['unpublished']
